datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
2010-01-01,23.9,15.1,19.5,0.6,100,20.83,rain,0,0,Partly cloudy throughout the day with rain.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-02,22,19,20.3,1.3,100,50,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-03,22.9,16,19.7,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-04,23,14.2,18.8,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-05,22.1,14.3,18.5,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-06,23,13.1,18.3,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-07,23.1,15.5,19.4,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-08,26.9,15.3,20.2,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-09,25,16.5,20.5,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-10,23,16.3,19.9,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-11,23,14.2,18.4,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-12,24,13.3,19,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-13,23.9,13,18.5,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA,remote",obs
2010-01-14,24.6,13.4,18.7,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA,remote",obs
2010-01-15,23.1,13.9,18.6,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-16,22.1,12.3,17.6,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-17,22,12.4,17.6,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-18,24,13.3,18.2,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-19,26,12.5,18.8,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-20,27.9,13.3,20.1,0,0,0,,0,0,Becoming cloudy in the afternoon.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-21,30,16.4,21.8,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-22,27,15.3,20.8,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-23,24,16.2,20.4,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-24,24,16.3,20,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-25,28.7,13.5,20.1,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-26,28.9,18.1,22.1,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-27,22,18.1,20.2,0,0,0,,0,0,Becoming cloudy in the afternoon.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-28,21,17.1,18.9,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-29,21.2,14,17.7,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-30,22.9,11.9,17.7,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-01-31,25.9,14.1,19.4,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-01,27.9,13.3,20.5,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-02,29,16.1,22.2,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-03,32.5,17.1,23.7,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-04,30.1,21.1,25.6,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-05,27.1,20,22.9,0.7,100,20.83,rain,0,0,Partly cloudy throughout the day with rain.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-06,23,19,20.5,0.3,100,8.33,rain,0,0,Partly cloudy throughout the day with early morning rain.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-07,22,17.9,19.7,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-08,21,16.8,18.5,0,0,0,,0,0,Partly cloudy throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-09,21.9,13.1,17.9,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-10,22.9,12.1,17.4,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-11,26,12.3,19.2,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-12,25,13,19.2,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA,remote",obs
2010-02-13,24.1,14.9,19.4,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-14,26.7,14.3,20.1,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-15,27,15.4,20.6,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-16,26,15.1,20.5,0,0,0,,0,0,Clearing in the afternoon.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-17,28.7,16.7,21.2,0,0,0,,0,0,Clearing in the afternoon.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-18,27.9,14.4,20.5,0.1,100,4.17,rain,0,0,Clear conditions throughout the day with morning rain.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-19,30,15.1,22.4,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-20,33.9,17.1,25,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-21,25.1,20.9,22.9,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA,remote",obs
2010-02-22,24.3,15.4,20.1,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-23,29.9,13.4,21.9,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-24,33.1,19.4,25,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-25,34.9,18.3,26.9,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-26,34,23.1,28.6,0,0,0,,0,0,Clear conditions throughout the day.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-27,34.1,21.3,27.8,4.5,100,25,rain,0,0,Partly cloudy throughout the day with rain.,"41216099999,41217099999,OMAD,OMAA",obs
2010-02-28,28.9,20.9,24.2,9.8,100,20.83,rain,0,0,Clear conditions throughout the day with early morning rain.,"41216099999,41217099999,OMAD,OMAA,remote",obs
2010-03-01,30.6,18,23.5,0,0,0,,0,0,Becoming cloudy in the afternoon.,"41216099999,41217099999,OMAD,OMAA,remote",obs
