name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Albert Park, Melbourne, VIC, Australia",2000-01-01,19.1,9.9,15.3,0.024,100,4.17,rain,,,Partly cloudy throughout the day with afternoon rain.,"94866099999,95867099999,94865099999,94872099999,94864099999,94854099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-02,23.3,7.8,16.6,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-03,28.5,12.8,19.5,0.092,100,4.17,rain,,,Partly cloudy throughout the day with afternoon rain.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-04,17.4,11.1,14.2,8.361,100,16.67,rain,,,Partly cloudy throughout the day with a chance of rain throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94854099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-05,17,11.1,14.1,0.126,100,4.17,rain,,,Partly cloudy throughout the day with afternoon rain.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-06,20.1,12.1,15.7,0.02,100,8.33,rain,,,Partly cloudy throughout the day with rain.,"94866099999,95867099999,94865099999,94872099999,94864099999,94854099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-07,21.9,12.1,17,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-08,27.1,8.9,19.2,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-09,31.1,13.6,22.4,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-10,29.5,18.5,23.9,0.141,100,8.33,rain,,,Partly cloudy throughout the day with rain in the morning and afternoon.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-11,32.1,13.4,23,0,0,0,,,,Clear conditions throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-12,31.1,12.7,22.9,0,0,0,,,,Clear conditions throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-13,32.1,15.1,24.5,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-14,33.7,15.6,25.5,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-15,28.1,16.7,21.8,0.021,100,4.17,rain,,,Partly cloudy throughout the day with late afternoon rain.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-16,19.5,13.9,18,0.854,100,8.33,rain,,,Cloudy skies throughout the day with rain in the morning and afternoon.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
"Albert Park, Melbourne, VIC, Australia",2000-01-17,27.8,9.8,18.7,0,0,0,,,,Partly cloudy throughout the day.,"94866099999,95867099999,94865099999,94872099999,94864099999,94870099999",obs
