name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-01,3.1,-2.3,0.1,0.387,100,4.17,snow,0,0,Cloudy skies throughout the day with early morning snow.,"11225099999,11157099999,11280099999,11229099999,11240099999,LOXZ,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-02,2,-3.1,-0.3,0.228,100,4.17,"rain,snow",2.1,1.8,Cloudy skies throughout the day with morning rain or snow.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-03,1.1,-7.5,-3.5,0,0,0,"rain,snow",0.1,1.6,Partly cloudy throughout the day.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-04,-2.9,-13,-7.6,0,0,0,,0,0.3,Partly cloudy throughout the day.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-05,-1.9,-13,-6.5,0.093,100,4.17,"rain,snow",1.7,0.5,Partly cloudy throughout the day with late afternoon rain or snow.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-06,-0.9,-5,-2.9,1.44,100,16.67,"rain,snow",1.6,2.6,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-07,-0.9,-4,-2.3,0.185,100,4.17,"rain,snow",1.5,3.2,Cloudy skies throughout the day with afternoon rain or snow.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-08,0.1,-2.8,-1.6,6.571,100,29.17,"rain,snow",6,6.3,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-09,0.1,-3,-1.1,4.788,100,25,"rain,snow",3.5,12.3,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
"Red Bull Ring, 8724 Spielberg, Österreich",2010-01-10,2,-3,-0.2,0,0,0,"rain,snow",0.1,10.8,Cloudy skies throughout the day.,"11225099999,11280099999,11229099999,11157099999,11240099999,LOXZ,11292099999,11165099999,11241099999",obs
