name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Baku City Circuit,2010-01-01,11,4.4,7.4,0,0,0,,0,0,Clearing in the afternoon.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-02,12,3,7.1,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-03,19.9,7,12.7,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-04,15,2,8.3,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-05,7,3.6,4.9,0,0,0,,0,0,Cloudy skies throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-06,5,2.9,3.7,0.3,100,8.33,rain,0,0,Cloudy skies throughout the day with rain.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-07,7,4.1,5.8,1.216,100,8.33,rain,0,0,Cloudy skies throughout the day with rain in the morning and afternoon.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-08,10,5,7.3,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-09,10,6.5,8.3,0,0,0,,0,0,Cloudy skies throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-10,10,7,8.4,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-11,10.2,4.6,7.7,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-12,8.2,3.3,6.1,0,0,0,,0,0,Cloudy skies throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-13,9.2,3.2,6.3,0,0,0,,0,0,Cloudy skies throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-14,8.4,5,7,0,0,0,,0,0,Cloudy skies throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-15,10,2.7,6.2,0,0,0,,0,0,Partly cloudy throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-16,10,6,7.4,0,0,0,,0,0,Cloudy skies throughout the day.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-17,6,4.1,5.2,1.019,100,12.5,rain,0,0,Cloudy skies throughout the day with rain.,"37864099999,UBBB,37756099999",obs
Baku City Circuit,2010-01-18,8,4.7,6.4,0.051,100,8.33,rain,0,0,Cloudy skies throughout the day with rain.,"37864099999,UBBB,37756099999",obs
