name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Interlagos, São Paulo, SP, Brasil",2010-01-01,23.8,20,21.5,4,100,8.33,rain,0,0,Cloudy skies throughout the day with rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-02,27.8,20,22.3,60,100,12.5,rain,0,0,Cloudy skies throughout the day with rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-03,29.1,21.8,24.3,0,0,0,,0,0,Partly cloudy throughout the day.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-04,31,21.9,24.3,19.8,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-05,31,21,25,18,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-06,29.1,21,23.6,1,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-07,28,21,23.4,0,0,0,,0,0,Partly cloudy throughout the day.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-08,27.2,21.9,23.1,26.9,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-09,31.1,20.9,24.4,31,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-10,32,22.9,26.7,0,0,0,,0,0,Partly cloudy throughout the day.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-11,31,19.1,25.4,43.9,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
"Interlagos, São Paulo, SP, Brasil",2010-01-12,30.8,21,25.4,0,0,0,,0,0,Partly cloudy throughout the day.,"SBMT,83779099999,83075099999,SBSP,SBGR,83780099999",obs
