name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-01,-3,-5,-4,3.339,100,41.67,snow,1.5,3.8,Cloudy skies throughout the day with a chance of snow throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-02,-4,-11,-6.8,4.01,100,45.83,snow,1.1,5.3,Cloudy skies throughout the day with a chance of snow throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-03,-5,-11.9,-8.4,12.753,100,54.17,snow,0.9,6.3,Cloudy skies throughout the day with a chance of snow throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-04,-5,-8.1,-7.2,0.925,100,8.33,snow,0.2,6.9,Cloudy skies throughout the day with snow in the morning and afternoon.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-05,-5,-8.2,-7.2,2.018,100,25,snow,2.6,8.2,Cloudy skies throughout the day with snow.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-06,-4.8,-6,-5.2,0.013,100,8.33,snow,0,7.7,Cloudy skies throughout the day with late afternoon snow.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-07,-5,-7.1,-6.2,0.922,100,12.5,snow,0.1,7,Cloudy skies throughout the day with snow.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-08,-6.9,-8.8,-7.3,1.229,100,4.17,snow,1.6,7.9,Cloudy skies throughout the day with early morning snow.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-09,-10,-15.1,-13.1,0,0,0,snow,0.4,8.7,Clear conditions throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-10,-4.9,-16,-11.4,0.006,100,4.17,snow,0.1,8.7,Partly cloudy throughout the day with late afternoon snow.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-11,-4,-6,-4.8,0.005,100,4.17,snow,0,8.2,Cloudy skies throughout the day with early morning snow.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-12,-6,-13,-9.3,0,0,0,snow,0.1,8,Partly cloudy throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-13,-8.6,-14.4,-10.8,0.368,100,12.5,snow,0.7,8.4,Partly cloudy throughout the day with snow.,"71627094792,CWVQ,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-14,0,-8.6,-5,0.077,100,8.33,"rain,snow",0.2,8.8,Cloudy skies throughout the day with rain or snow.,"71627094792,CWVQ,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-15,3,0.1,1.9,0.037,100,12.5,"rain,snow",0,7.8,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-16,2,1,1.7,0.011,100,4.17,"rain,snow",0,6.8,Cloudy skies throughout the day with afternoon rain or snow.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-17,1,-8.9,-6.4,0,0,0,snow,0.1,6.4,Partly cloudy throughout the day.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-18,-2,-7.1,-4.5,0.003,100,4.17,snow,0.6,6.7,Cloudy skies throughout the day with morning snow.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-19,1.8,-2,-0.1,0.944,100,12.5,"rain,snow",0,6.9,Cloudy skies throughout the day with rain or snow in the morning and afternoon.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-20,1,-2,-0.9,0.021,100,12.5,"rain,snow",0,6.6,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-21,-3.9,-6.2,-4.9,0,0,0,,0,6,Partly cloudy throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-22,-3.1,-7.6,-5.4,0,0,0,,0,5.2,Clear conditions throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-23,-4.2,-11.2,-7.5,0,0,0,snow,0.4,5,Clear conditions throughout the day.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-24,2.9,-8.2,-3.9,0.013,100,8.33,snow,0,4.9,Partly cloudy throughout the day with afternoon snow.,"71627094792,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-25,9.8,2.9,5.9,50.197,100,70.83,rain,0,3.7,Cloudy skies throughout the day with a chance of rain throughout the day.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-26,3,0.8,1.2,1.112,100,12.5,"rain,snow",0.4,2.4,Cloudy skies throughout the day with rain or snow.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-27,1,-3,-1.1,0.921,100,12.5,"rain,snow",0.1,2.3,Partly cloudy throughout the day with rain or snow in the morning and afternoon.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
"Circuit Gilles-Villeneuve, Montréal, QC H3C, Canada",2010-01-28,-3,-11.9,-5.1,4.442,100,33.33,snow,0.6,2.3,Cloudy skies throughout the day with a chance of snow throughout the day.,"71627094792,71377099999,71371099999,CWIZ,CWTA,71612099999,71372099999",obs
