datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
2010-01-01,5.8,-0.2,2.4,0.062,100,12.5,"rain,snow",0,0,Partly cloudy throughout the day with rain or snow.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-02,8.7,2.4,5,0.186,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-03,9.4,3.6,6,0.01,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-04,7.9,1.9,5.1,0.039,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-05,8.6,3.9,6,0.058,100,8.33,rain,0,0,Becoming cloudy in the afternoon with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-06,7.2,0.8,3.7,0.079,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-07,7.6,0.5,4,0.887,100,16.67,"rain,snow",0,0,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-08,8.8,1.7,4.6,0.058,100,4.17,rain,0,0,Clear conditions throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-09,8.6,0,4.1,0,0,0,,0,0,Becoming cloudy in the afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-10,9.2,2.5,6,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-11,8.1,1.2,4.3,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-12,7,3.8,5.2,0.192,100,4.17,rain,0,0,Cloudy skies throughout the day with afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-13,4.9,0,2.1,0.207,100,8.33,"rain,snow",0,0,Partly cloudy throughout the day with rain or snow clearing later.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-14,4.7,-1.3,1.2,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,47684099999",obs
2010-01-15,6.3,-1.3,3.1,0,0,0,,0,0,Becoming cloudy in the afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-16,5.8,-0.1,2.9,0.039,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-17,8.8,-1.3,2.9,0.01,100,4.17,rain,0,0,Clear conditions throughout the day with late afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-18,9.1,-1.4,3.9,0,0,0,,0,0,Becoming cloudy in the afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,47684099999",obs
2010-01-19,14.2,2.7,7.7,0,0,0,,0,0,Becoming cloudy in the afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-20,12.3,1.2,6.8,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-21,12.8,4.5,8.1,3.509,100,12.5,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-22,8.4,3.4,5.4,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-23,7.3,2.6,4.9,0.019,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,RJGG,47684099999",obs
2010-01-24,9.5,1.1,4.6,0.019,100,4.17,"rain,snow",0,0,Clear conditions throughout the day with early morning snow or rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-25,8.3,-0.8,4,0.01,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-26,7.6,1,4.7,0.015,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,47684099999",obs
2010-01-27,9,-1.3,3.4,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,47684099999",obs
2010-01-28,10.6,3.9,6.5,2.851,100,12.5,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-29,10.2,3.7,6.9,0,0,0,,0,0,Becoming cloudy in the afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-30,11.2,1.3,5.6,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-01-31,6.9,3.6,5.2,5.37,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-01,6.1,3.1,4.6,18.851,100,8.33,rain,2.4,0,Cloudy skies throughout the day with rain or snow.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,47684099999",obs
2010-02-02,9.3,2.1,5.7,0.458,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-03,6.5,1.4,4.1,0.019,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-04,6.7,0.4,2.9,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-05,6.6,0.4,3.4,0,0,0,,0,0,Becoming cloudy in the afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-06,3.4,0.2,1.5,2.743,100,16.67,"rain,snow",0,0,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-07,7,-0.3,2.9,2.43,100,4.17,"rain,snow",0,0,Partly cloudy throughout the day with early morning snow or rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-08,8.2,0.6,4.1,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-09,12.9,3.1,7.9,0.019,100,8.33,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-10,13.9,7.4,10.6,0.667,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-11,9.8,6,7.6,21.492,100,12.5,rain,0,0,Cloudy skies throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-12,7.1,3.3,5.5,0.493,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47634599999,47653099999,47651099999,47761099999,RJGG,47684099999",obs
2010-02-13,7.6,1.6,4.3,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-14,8.4,-1.1,4.3,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-15,8.4,2.3,5.5,10.965,100,12.5,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-16,8.4,2.3,6.3,0.01,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-17,6.7,1.6,3.8,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-18,9.8,0.8,5.3,0.009,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,47684099999",obs
2010-02-19,9.6,0.2,4,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47632099999,RJGG,47684099999",obs
2010-02-20,8.4,-0.2,4.2,0.01,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-21,11.2,1,5.8,0,0,0,,0,0,Clear conditions throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-22,12.1,0.6,6.3,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-23,15.4,5.5,9.8,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-24,16.1,4.9,10.4,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-25,15.5,10.2,12.4,0,0,0,,0,0,Cloudy skies throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-26,14.2,11.4,13.1,18.823,100,16.67,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-27,16,10.3,13.8,16.339,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-02-28,13.9,6.5,10.1,23.505,100,8.33,rain,0,0,Clearing in the afternoon with rain clearing later.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-01,12.6,3.5,8.6,0.388,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-02,17.5,8.7,12.2,4.017,100,8.33,rain,0,0,Cloudy skies throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-03,12.2,6.9,9.4,1.838,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47634599999,47653099999,47651099999,47761099999,RJGG,47684099999",obs
2010-03-04,10,6.6,8.3,5.498,100,12.5,rain,0,0,Cloudy skies throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-05,18.1,9.5,12.9,10.108,100,4.17,rain,0,0,Cloudy skies throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-06,13.1,9.6,11.1,16.022,100,12.5,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-07,9.7,6.3,7.5,14.272,100,16.67,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-08,11.2,4,7.3,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-09,7.9,5.2,6.5,25.111,100,12.5,rain,0,0,Cloudy skies throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-10,9.8,4.4,6.6,3.917,100,16.67,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-11,9.6,2,5.4,0.079,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-12,11.1,0.7,6.4,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-13,14.2,7.1,10,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-14,16.9,5.5,10.6,0,0,0,,0,0,Clear conditions throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-15,12.2,7.1,10.2,4.896,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-16,14.6,6,11.7,17.965,100,12.5,rain,0,0,Partly cloudy throughout the day with a chance of rain throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-17,10.6,4.4,6.9,0,0,0,,0,0,Partly cloudy throughout the day.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
2010-03-18,11.2,2.6,6.8,0.55,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"47649099999,47636099999,47653099999,47651099999,47761099999,47684099999",obs
