name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
El Circuito,2010-01-01,7.9,3.5,5.7,4.04,100,8.33,rain,0.1,0.3,Partly cloudy throughout the day with rain or snow.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-02,7.5,2.7,5.4,1.106,100,4.17,rain,0,0.4,Partly cloudy throughout the day with morning rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-03,7.2,2.7,5.4,1.912,100,8.33,rain,0,0.3,Partly cloudy throughout the day with rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-04,9.2,6.5,7.7,9.731,100,25,rain,0,0.3,Partly cloudy throughout the day with rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-05,10.1,6.1,8.1,1.912,100,12.5,rain,0,0.3,Partly cloudy throughout the day with rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-06,6.8,3.9,5.2,0.139,100,4.17,rain,0,0.3,Partly cloudy throughout the day with morning rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-07,4,0.5,2.1,8.456,100,25,"rain,snow",0.2,0.4,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-08,2.7,-0.8,0.8,0.865,100,8.33,"rain,snow",0.1,0.5,Partly cloudy throughout the day with rain or snow in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-09,1.9,-1.7,0.1,0.026,100,8.33,"rain,snow",0,0.5,Partly cloudy throughout the day with rain or snow in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-10,-0.3,-5.4,-2.7,1.93,100,8.33,"rain,snow",0.2,0.5,Partly cloudy throughout the day with late afternoon rain or snow.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-11,1.7,-4.5,-1.9,0.248,100,8.33,"rain,snow",0.3,0.6,Clearing in the afternoon with rain or snow in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-12,6.5,-0.8,1.1,7.376,100,20.83,"rain,snow",0.5,0.6,Partly cloudy throughout the day with rain or snow.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-13,7.9,1.9,4.6,7.048,100,20.83,rain,0,0.6,Partly cloudy throughout the day with rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-14,10.8,7.6,9.2,1.802,100,8.33,rain,0,0.7,Partly cloudy throughout the day with rain in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-15,8.8,1,5.2,0,0,0,,0,0.7,Partly cloudy throughout the day.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-16,8.7,4.1,6.7,0.014,100,4.17,rain,0,0.6,Partly cloudy throughout the day with late afternoon rain.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-17,10.7,7,8.4,0.188,100,8.33,rain,0,0.5,Partly cloudy throughout the day with rain in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-18,13.9,8,10.3,0.126,100,4.17,rain,0,0.4,Partly cloudy throughout the day with morning rain.,"08221099999,08224099999,LEMD,LEVS,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-19,12.1,9.3,10.5,1.36,100,8.33,rain,0,0.4,Partly cloudy throughout the day with rain in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-20,12.5,3.7,8,0.045,100,8.33,rain,0,0.4,Partly cloudy throughout the day with rain in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-21,9.5,0.5,4.7,0,0,0,,0,0.3,Partly cloudy throughout the day.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-22,9.1,0.9,4.9,0,0,0,,0,0.3,Partly cloudy throughout the day.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-23,10.7,6,8.2,1.151,100,16.67,rain,0,0.3,Partly cloudy throughout the day with a chance of rain throughout the day.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-24,12.1,4.9,8,0.181,100,8.33,rain,0,0.3,Partly cloudy throughout the day with rain in the morning and afternoon.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-25,8.5,2.8,5.8,0,0,0,,0,0.3,Partly cloudy throughout the day.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
El Circuito,2010-01-26,9.4,0,3.8,0.586,100,8.33,"rain,snow",0.1,0.3,Partly cloudy throughout the day with rain or snow clearing later.,"08221099999,08224099999,LEMD,LEVS,08226099999,LETO,08219099999,08223099999,08215099999",obs
