name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-01,22.1,5.1,13.9,0.1,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"76681099999,76675399999,76679399999,MMCB,remote,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-02,19.9,5.1,11.4,0.8,100,4.17,rain,0,0,Cloudy skies throughout the day with late afternoon rain.,"76681099999,76675399999,76679399999,76680099999,MMCB,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-03,20.9,8.1,13.3,0.002,100,4.17,rain,0,0,Cloudy skies throughout the day with early morning rain.,"76681099999,76726099999,76675399999,76679399999,MMCB,remote,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-04,21.4,4.1,11.3,0,0,0,,0,0,Partly cloudy throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-05,20.4,4.1,11,0,0,0,,0,0,Partly cloudy throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-06,19,4.1,11.4,0,0,0,,0,0,Cloudy skies throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-07,17,7,11.9,0.49,100,8.33,rain,0,0,Cloudy skies throughout the day with late afternoon rain.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-08,13,6.1,9.9,15.697,100,66.67,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-09,13.8,7.1,9.6,6.053,100,29.17,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-10,16.3,5.1,9.6,0.077,100,4.17,rain,0,0,Partly cloudy throughout the day with early morning rain.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-11,15.8,1.1,9,0,0,0,,0,0,Cloudy skies throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX,MMTO",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-12,19.3,2.1,9.9,0.3,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"76681099999,76726099999,76675399999,76680099999,MMCB,remote,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-13,20.3,7.1,11.6,0.3,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"76726099999,76675399999,76679399999,MMCB,remote,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-14,22.4,3.1,12.5,0.385,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-15,17.9,5.1,12.4,6.085,100,20.83,rain,0,0,Partly cloudy throughout the day with rain.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-16,20,6.1,12.4,7.539,100,12.5,rain,0,0,Partly cloudy throughout the day with rain clearing later.,"76681099999,76726099999,76675399999,76679399999,MMCB,76680099999,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-17,22.9,1.1,13,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-18,23.9,3.1,14.5,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-19,31,2.1,15.2,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-20,25.7,1.1,14.6,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-21,32,6.1,15.4,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-22,33,-1.9,14.1,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-23,30,2.1,15.3,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-24,25.9,-0.9,13.8,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-25,25,1.7,14.1,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-26,23.9,0.1,14,0,0,0,,0,0,Clear conditions throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-27,24.8,6,13.8,0,0,0,,0,0,Becoming cloudy in the afternoon.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-28,28,3.1,13.3,0,0,0,,0,0,Partly cloudy throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,MMMX,76675099999",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-29,21,2.5,14.1,0,0,0,,0,0,Cloudy skies throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMMX,MMTO",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-30,16.1,4.1,11.9,0,0,0,,0,0,Cloudy skies throughout the day.,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-01-31,18,2.2,10.6,99.9,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"76681099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX",obs
"Autódromo Hermanos Rodríguez, Granjas México, 08400 Iztacalco, CDMX, México",2010-02-01,14.9,6.1,11.1,1.915,100,16.67,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"76681099999,76675399999,76679399999,76680099999,remote,76675099999,MMMX",obs
