name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Miami Air International Maintenance,2010-01-01,26.7,13.8,20.5,3.771,100,20.83,rain,0,0,Partly cloudy throughout the day with rain.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-02,18,9.4,13.4,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-03,16,7.7,11.6,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-04,15,6.6,10.5,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-05,14.7,6.7,10.1,0,0,0,,0,0,Clearing in the afternoon.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-06,13.7,3.8,8.6,0,0,0,,0,0,Clear conditions throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-07,16,6.5,10.4,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-08,23,9,15.8,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-09,16.7,3.1,8.8,12.275,100,70.83,rain,0,0,Cloudy skies throughout the day with rain.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,KTMB",obs
Miami Air International Maintenance,2010-01-10,8.6,1.7,4.8,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-11,15.9,1.7,8.5,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-12,16,5.8,10.9,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-13,19.2,7.4,12.6,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,KTMB",obs
Miami Air International Maintenance,2010-01-14,22.9,12.3,16.9,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-15,25.8,16.2,21.5,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-16,26.6,21.4,23.5,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-17,26.6,20.5,22.7,9.015,100,16.67,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-18,23.8,16.7,19.8,0,0,0,,0,0,Clearing in the afternoon.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-19,20.8,13.4,16.7,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-20,26.7,13.5,19.6,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839",obs
Miami Air International Maintenance,2010-01-21,27.3,21.3,24,0,0,0,,0,0,Partly cloudy throughout the day.,"KHWO,72202412882,72203792809,KMIA,KOPF,72202012839,KTMB",obs
