name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Monaco,2010-01-01,11.8,8.6,10.3,6.364,100,20.83,rain,0,7.1,Cloudy skies throughout the day with rain clearing later.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-02,12.1,4.6,9,0,0,0,,0,6.9,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-03,8.6,2.2,5.5,0,0,0,,0,6.4,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-04,8,4.2,6.2,7.608,100,29.17,rain,0.2,6.5,Cloudy skies throughout the day with rain or snow clearing later.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-05,7.7,4.5,6.2,1.094,100,12.5,rain,0,7.3,Partly cloudy throughout the day with afternoon rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-06,10.6,2.6,5.5,0,0,0,,0,7.4,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-07,9.6,1.5,4.9,5.319,100,12.5,rain,0,7.2,Partly cloudy throughout the day with late afternoon rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-08,9,6.8,7.8,15.412,100,62.5,rain,0,14.5,Cloudy skies throughout the day with a chance of rain throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-09,10.2,3.5,6.2,13.353,100,41.67,rain,0.5,21.2,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-10,5.3,3.5,4.3,0.246,100,8.33,rain,0.1,24.4,Partly cloudy throughout the day with afternoon rain or snow.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-11,9.8,3.2,5.4,0,0,0,,0,23.7,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-12,10.2,2.5,5.9,1.848,100,4.17,rain,0,23.5,Partly cloudy throughout the day with late afternoon rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-13,9.9,5.3,7.2,5.696,100,41.67,rain,0,23.5,Cloudy skies throughout the day with a chance of rain throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-14,10,4.4,6.8,12.301,100,41.67,rain,0,23.2,Partly cloudy throughout the day with rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-15,13.2,6.5,8.9,0.17,100,4.17,rain,0,23.8,Partly cloudy throughout the day with early morning rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-16,10,5.3,7.5,0,0,0,,0,22.7,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-17,10,6,8,0,0,0,,0,22.7,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-18,12.1,4.5,7.7,0,0,0,,0,22.9,Clear conditions throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-19,12.2,3.5,6.8,0,0,0,,0,22.8,Becoming cloudy in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-20,10.7,3,6.1,0,0,0,,0,22.6,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-21,12.3,4.6,7.4,0,0,0,,0,22.3,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-22,12.1,3.7,7,0,0,0,,0,22.3,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-23,10.2,2.7,6.5,0,0,0,,0,22,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-24,10.7,4.1,7.6,0,0,0,,0,22.1,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-25,9.9,5.9,7.9,7.52,100,33.33,rain,0,22.2,Cloudy skies throughout the day with rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-26,11.2,6.5,8.2,0,0,0,,0,21.1,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-27,12.9,4.6,7.9,0,0,0,,0,20.9,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-28,11.1,3.4,6.7,0,0,0,,0,20,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-29,11.1,3.7,7,0,0,0,,0,20,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-30,10.8,4.5,7.5,0,0,0,,0,18.8,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-01-31,8.8,1.8,4.6,0.38,100,8.33,rain,0.1,18.7,Partly cloudy throughout the day with afternoon rain or snow.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-01,10.4,0.4,5,0,0,0,,0,18.6,Clear conditions throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-02,10.6,1.8,5,0,0,0,,0,18.6,Becoming cloudy in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-03,11.5,1.5,5.6,0,0,0,,0,18.1,Clear conditions throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-04,13.2,2.7,8.2,0.122,100,4.17,rain,0,18.3,Partly cloudy throughout the day with late afternoon rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-05,11.1,6.9,8,21.361,100,45.83,rain,0,20.2,Partly cloudy throughout the day with a chance of rain throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-06,13.2,4,8.5,0,0,0,,0,25,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-07,13.4,5.2,8.7,0,0,0,,0,24.6,Clear conditions throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-08,11.7,4.3,7.9,0.122,100,4.17,rain,0,23.9,Partly cloudy throughout the day with afternoon rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-09,11.2,7.6,9.7,2.588,100,20.83,rain,0,23.7,Cloudy skies throughout the day with rain clearing later.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-10,10.9,5.5,7.9,0,0,0,,0,23.4,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-11,6.1,0.6,3.3,18.501,100,54.17,"rain,snow",7,24.5,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-12,9.1,-1.3,2.8,0.17,100,4.17,"rain,snow",1.7,26.6,Partly cloudy throughout the day with morning rain or snow.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-13,7,1.1,4,0,0,0,,0,25.8,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-14,9.7,3.8,6.2,0,0,0,,0,25.3,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-15,10,2.5,6.3,0,0,0,,0,25.2,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-16,11.7,5.5,8.6,0,0,0,,0,24.4,Cloudy skies throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-17,9.3,7.1,8.2,25.109,100,66.67,rain,0,25.1,Cloudy skies throughout the day with a chance of rain throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-18,13.1,7.8,10.1,1.246,100,20.83,rain,0,28.5,Partly cloudy throughout the day with rain clearing later.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-19,14,8.6,11.4,25.525,100,50,rain,0,31.7,Partly cloudy throughout the day with a chance of rain throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-20,14.8,5.7,9.7,0,0,0,,0,32.1,Clearing in the afternoon.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-21,12.1,4.6,8.4,6.152,100,16.67,rain,0,33.6,Becoming cloudy in the afternoon with rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-22,11.2,6.7,8.8,14.944,100,50,rain,0,43.7,Cloudy skies throughout the day with rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-23,12.7,6.6,9.6,13.347,100,12.5,rain,0,44.4,Partly cloudy throughout the day with early morning rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-24,13.6,6.8,9.9,0,0,0,,0,43.9,Partly cloudy throughout the day.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-25,14.3,7.5,11,0.17,100,4.17,rain,0,47.5,Partly cloudy throughout the day with late afternoon rain.,"07684099999,LFMD,07690099999,LFMN",obs
Monaco,2010-02-26,17.4,9.9,13,0.679,100,8.33,rain,0,46.4,Clearing in the afternoon with early morning rain.,"07684099999,LFMD,07690099999,LFMN",obs
