name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Autodromo Nazionale Monza,2010-01-01,6.9,2.3,4.5,0.615,100,8.33,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-02,7.8,2,3.6,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-03,2.7,-3,-0.1,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-04,2,-2.2,-0.1,0.523,100,4.17,"rain,snow",0.1,0,Partly cloudy throughout the day with late afternoon rain or snow.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-05,2.7,-0.4,1,0,0,0,,0,0,Cloudy skies throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-06,7.2,-0.1,2.4,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-07,6.2,-1.2,2.8,0.268,100,8.33,"rain,snow",0.2,0.1,Becoming cloudy in the afternoon with late afternoon rain or snow.,"16080099999,06760099999,16076099999,06770099999,06762099999,16088099999,16066099999,06771099999,LIML",obs
Autodromo Nazionale Monza,2010-01-08,3.5,1.5,2.8,12.107,100,91.67,"rain,snow",3.2,0.3,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-09,5.7,2.3,4.1,3.144,100,50,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-10,8.4,1.5,4.9,2.758,100,25,rain,0,0,Partly cloudy throughout the day with rain clearing later.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-11,5,-0.9,1.3,0.048,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-12,4.1,0,1.7,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-13,4.5,2.3,3.3,1.366,100,16.67,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-14,4.8,2.5,3.6,0.048,100,4.17,rain,0,0,Cloudy skies throughout the day with early morning rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-15,7.7,0.9,3.7,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-16,3.5,-0.8,1.7,0.048,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-17,5.1,1.7,3.1,0,0,0,,0,0,Cloudy skies throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-18,5.5,-0.6,1.5,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-19,3,-2.4,-0.3,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-20,1.3,-4.9,-1.3,0,0,0,,0,0,Partly cloudy throughout the day.,"16080099999,06760099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-21,1.1,-1.7,-0.5,0,0,0,,0,0,Cloudy skies throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
Autodromo Nazionale Monza,2010-01-22,1.4,-1.3,-0.1,0,0,0,,0,0,Cloudy skies throughout the day.,"16080099999,16076099999,06770099999,06762099999,16066099999,06771099999",obs
