datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
2010-01-01,22.8,17.5,19.8,0.5,100,16.67,rain,0,0,Clearing in the afternoon with a chance of rain throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-02,20.9,15.1,18,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-03,22.7,14.8,18.2,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-04,22.1,14.4,18.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-05,24.7,11.1,18.6,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-06,25.7,13.4,19.1,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-07,21.8,16.3,18.8,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-08,23.2,15.9,19.5,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-09,27.6,15.6,19.5,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-10,22.8,13.1,18.1,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-11,22.2,14.5,18.7,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-12,23.3,15.4,19.2,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-13,23.2,15.3,19.1,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-14,23.2,15.3,19.3,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-15,24,16.3,19.6,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-16,24.8,15.1,19.6,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-17,24.7,14.5,19.3,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-18,22.8,14.4,18.3,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-19,24.2,15.7,19.9,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-20,25.2,16.3,20.7,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-21,25.8,19.8,22.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-22,25.8,18.9,21.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-23,24.8,17.7,20.5,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-24,24.2,16.3,20.1,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-25,24.4,18.2,21.2,0.3,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"OTBD,41170599999,41170099999",obs
2010-01-26,23.8,17.7,20.9,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-27,20.8,15.5,17.6,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-28,20,13.5,16.2,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-29,20.2,12.1,16,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-30,24.2,13.5,18.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-01-31,29.7,15.3,21.2,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-01,29.8,17.3,22.2,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-02,28.5,20.5,23,0,0,0,,0,0,Partly cloudy throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-03,26.4,18.8,22.3,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-04,26.9,20.8,23.9,0,0,0,,0,0,Becoming cloudy in the afternoon.,"OTBD,41170599999,41170099999",obs
2010-02-05,21.8,16.5,18.7,0.7,100,16.67,rain,0,0,Partly cloudy throughout the day with early morning rain.,"OTBD,41170599999,41170099999",obs
2010-02-06,20,15.7,17.7,0,0,0,,0,0,Partly cloudy throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-07,19.7,12.7,16.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-08,20,11.8,15.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-09,19.8,11.4,15.6,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-10,21.4,13.4,17.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-11,26.8,16,20.3,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-12,23.4,16.3,19.6,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-13,23.4,15.3,19.5,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-14,25.1,15.7,20.4,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-15,27,17.5,21.9,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-16,25.6,15.6,20.5,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
2010-02-17,26.1,16.7,20.5,0.1,100,4.17,rain,0,0,Clearing in the afternoon with morning rain.,"OTBD,41170599999,41170099999",obs
2010-02-18,31.1,15.8,22.1,0,0,0,,0,0,Clear conditions throughout the day.,"OTBD,41170599999,41170099999",obs
