name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Shanghai, China",2010-01-01,10,-0.8,5.1,0,0,0,,0,0,Clear conditions throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-02,12.3,4.8,8.5,0,0,0,,0,0,Clearing in the afternoon.,"58367099999,ZSSS,58321199999,ZSPD,remote,58362099999",obs
"Shanghai, China",2010-01-03,11.7,4.7,7.9,0,0,0,,0,0,Partly cloudy throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-04,8,-0.2,5.2,0,0,0,,0,0,Partly cloudy throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-05,1,-2,-0.4,0,0,0,,0,0,Partly cloudy throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-06,4,-0.8,1.3,0,0,0,,0,0,Partly cloudy throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-07,3.9,-2,0.7,0,0,0,,0,0,Clear conditions throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-08,4.8,0,2.1,0,0,0,,0,0,Partly cloudy throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-09,9.5,0.7,4.8,0,0,0,,0,0,Partly cloudy throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-10,7,4.3,6.2,15,100,12.5,rain,0,0,Partly cloudy throughout the day with rain.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-11,5.2,1,2.5,2.3,100,12.5,rain,0,0,Cloudy skies throughout the day with a chance of rain throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-12,4,-1,1.2,0,0,0,,0,0,Clearing in the afternoon.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-13,2,-4,-1.5,0,0,0,,0,0,Clear conditions throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-14,7.8,-4.7,1.7,0,0,0,,0,0,Clear conditions throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
"Shanghai, China",2010-01-15,8.9,-0.6,4.3,0,0,0,,0,0,Clear conditions throughout the day.,"58367099999,ZSSS,58321199999,ZSPD,58362099999,remote",obs
"Shanghai, China",2010-01-16,8.7,3,5.2,0.4,100,16.67,rain,0,0,Partly cloudy throughout the day with rain clearing later.,"58367099999,ZSSS,58321199999,ZSPD,58362099999",obs
