name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Silverstone Circuit,2010-01-01,1.1,-2.6,-1.1,0.09,100,4.17,snow,0,0,Partly cloudy throughout the day with morning snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-02,3.8,-2,0.8,0.198,100,8.33,"rain,snow",0,0,Partly cloudy throughout the day with rain or snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-03,1.2,-4,-0.9,0.201,100,8.33,"rain,snow",0,0,Partly cloudy throughout the day with rain or snow clearing later.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-04,0.2,-5.7,-3.6,0.045,100,4.17,snow,0,0,Clearing in the afternoon with morning snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-05,0.3,-4.4,-1.5,0.428,100,8.33,"rain,snow",3.2,1.7,Partly cloudy throughout the day with rain or snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-06,-0.3,-6.9,-2,0.49,100,8.33,"rain,snow",3.1,3.7,Partly cloudy throughout the day with rain or snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-07,-1.7,-8.4,-4.8,0.524,100,4.17,snow,0,3.1,Partly cloudy throughout the day with late afternoon snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-08,-1,-5.2,-3.2,0.066,100,4.17,snow,0,3,Partly cloudy throughout the day with late afternoon snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-09,-0.9,-4.8,-2.7,0.379,100,8.33,snow,0,2.8,Partly cloudy throughout the day with snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-10,1,-0.4,0.5,0.857,100,12.5,"rain,snow",0.9,2.1,Partly cloudy throughout the day with rain or snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-11,0.3,-0.5,0,0.658,100,16.67,"rain,snow",0.6,2,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-12,0.7,-0.5,0.1,0.044,100,4.17,"rain,snow",0.6,2.2,Partly cloudy throughout the day with morning rain or snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
Silverstone Circuit,2010-01-13,0,-0.7,-0.4,1.067,100,12.5,"rain,snow",2.2,2.5,Partly cloudy throughout the day with rain or snow.,"03647099999,03660099999,03649099999,03560099999,03658099999,03544099999",obs
