name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Marina Bay Street Circuit,2010-01-01,32.6,25.8,28.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-02,31.6,25.9,28.1,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-03,31.9,25.9,28.1,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-04,28.8,24,26.8,0.797,100,12.5,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-05,32.2,24.9,27.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-06,32.2,25.9,28.5,0.089,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-07,28.9,24,26.5,5.322,100,8.33,rain,0,0,Partly cloudy throughout the day with morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-08,30.4,25.1,27.3,0.887,100,4.17,rain,0,0,Partly cloudy throughout the day with late afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-09,31.8,25.5,28,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-10,32.2,24.8,27.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-11,32.2,24.9,28,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-12,32,24.7,27.5,15.965,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-13,30.6,25.9,27.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-14,31,25.9,27.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-15,31,25.1,27.5,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-16,31.5,25,28,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-17,32.9,24.8,27.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-18,31,25.9,27.2,3.548,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-19,31.5,24.6,27.1,16.852,100,8.33,rain,0,0,Partly cloudy throughout the day with rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-20,31.6,23.1,27.2,8.047,100,8.33,rain,0,0,Partly cloudy throughout the day with early morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-21,31.5,25.7,27.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-22,30.5,23,26.6,9.49,100,8.33,rain,0,0,Partly cloudy throughout the day with rain in the morning and afternoon.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-23,32.6,25.1,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-24,32.5,25.7,28.2,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-25,31.9,25.7,28.1,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-26,32.5,25.3,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-27,31.3,25.7,27.9,0.089,100,4.17,rain,0,0,Partly cloudy throughout the day with morning rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-28,31.9,25.9,27.8,2.661,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-29,31.7,25.4,28,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-30,32.6,25.7,28.4,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-01-31,32,25.9,28.5,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-01,32.8,25.7,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-02,33.4,24.7,28.3,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-03,33.2,25.7,28.6,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-04,33.6,25.9,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-05,33,25.3,28,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-06,32.6,25.7,28.7,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-07,33,25.8,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-08,32.9,26,28.9,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-09,31.7,26,28.4,1.774,100,4.17,rain,0,0,Partly cloudy throughout the day with afternoon rain.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
Marina Bay Street Circuit,2010-02-10,32.7,25.9,28.8,0,0,0,,0,0,Partly cloudy throughout the day.,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WSSL",obs
