name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-01,-2.4,-4.9,-3.6,0.491,100,8.33,snow,0.6,0.6,Cloudy skies throughout the day with snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-02,-2.4,-6,-4,0.014,100,4.17,snow,2.7,1.6,Partly cloudy throughout the day with early morning snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-03,-1.2,-8.7,-5.2,4.484,100,8.33,"rain,snow",2.4,4.7,Cloudy skies throughout the day with rain or snow in the morning and afternoon.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-04,-5.7,-11,-7.4,0,0,0,,0,4.9,Partly cloudy throughout the day.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-05,-3.5,-5.7,-4.4,0.092,100,8.33,snow,0,4.9,Cloudy skies throughout the day with snow in the morning and afternoon.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-06,-4.9,-7.4,-6,0.011,100,4.17,snow,0.6,5.1,Partly cloudy throughout the day with late afternoon snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-07,-5.7,-8.5,-6.7,0.065,100,4.17,snow,0.4,5.8,Partly cloudy throughout the day with morning snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-08,-6.5,-10,-7.6,0,0,0,snow,0.7,5,Cloudy skies throughout the day.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-09,-4.4,-7,-5.7,1.216,100,8.33,snow,1.3,5.6,Cloudy skies throughout the day with snow in the morning and afternoon.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-10,-4,-6.1,-4.9,0.676,100,8.33,snow,0.5,6.4,Partly cloudy throughout the day with snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-11,-3.4,-5.2,-4.3,0.329,100,4.17,snow,0.2,6.3,Cloudy skies throughout the day with late afternoon snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-12,-3,-4.1,-3.5,0.011,100,4.17,snow,0,6.2,Cloudy skies throughout the day with late afternoon snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-13,-0.3,-4.5,-2.7,0.137,100,12.5,"rain,snow",0.4,5.8,Partly cloudy throughout the day with rain or snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-14,0.8,-0.6,0.4,0.031,100,8.33,"rain,snow",0,5.2,Partly cloudy throughout the day with rain or snow clearing later.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-15,0.6,-1.5,-0.6,0,0,0,,0,4.2,Cloudy skies throughout the day.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
"Rue de Spa, 4970 Stavelot, Belgique",2010-01-16,0.2,-1.7,-1.2,0.76,100,4.17,"rain,snow",0.2,3.3,Partly cloudy throughout the day with late afternoon rain or snow.,"06494099999,06478099999,06496099999,06490099999,06472099999,06380099999",obs
