name,datetime,tempmax,tempmin,temp,precip,precipprob,precipcover,preciptype,snow,snowdepth,description,stations,source
Circuit Zandvoort,2010-01-01,0.7,-6,-1.2,0,0,0,"rain,snow",0.6,0.7,Clearing in the afternoon.,"06260099999,06348099999,06249099999,06240099999,06330099999,06257099999,06344099999",obs
Circuit Zandvoort,2010-01-02,1.4,-5.7,-0.9,1.282,100,12.5,"rain,snow",0.5,1.4,Cloudy skies throughout the day with rain or snow.,"06260099999,06348099999,06249099999,06240099999,06330099999,06344099999",obs
Circuit Zandvoort,2010-01-03,-1,-6.9,-3.7,0.752,100,8.33,"rain,snow",0.1,1.5,Partly cloudy throughout the day with rain or snow.,"06260099999,06348099999,06249099999,06240099999,06330099999,06344099999",obs
Circuit Zandvoort,2010-01-04,2.2,-4.4,-0.4,1.284,100,8.33,"rain,snow",0.2,1.2,Cloudy skies throughout the day with rain or snow.,"06260099999,06348099999,06249099999,06240099999,06330099999,06344099999,06257099999",obs
Circuit Zandvoort,2010-01-05,2.1,-1.6,0.6,1.657,100,12.5,"rain,snow",0.1,1.3,Partly cloudy throughout the day with a chance of rain or snow throughout the day.,"06260099999,06348099999,06249099999,06240099999,06330099999,06257099999,06344099999",obs
Circuit Zandvoort,2010-01-06,0,-4.9,-2.4,0.544,100,4.17,"rain,snow",3.6,2.1,Partly cloudy throughout the day with late afternoon rain or snow.,"06260099999,06348099999,06249099999,06240099999,06330099999,06344099999",obs
Circuit Zandvoort,2010-01-07,-2.7,-8,-4.6,0.052,100,8.33,snow,2.2,6.3,Partly cloudy throughout the day with snow clearing later.,"06260099999,06348099999,06249099999,06240099999,06330099999,06235099999,06269099999,06344099999,06257099999",obs
Circuit Zandvoort,2010-01-08,-3.9,-10.8,-6.3,0.276,100,4.17,snow,0,6.5,Partly cloudy throughout the day with morning snow.,"06348099999,06249099999,06240099999,06330099999,06257099999,06344099999",obs
Circuit Zandvoort,2010-01-09,-0.5,-4.5,-2.1,0.384,100,8.33,"rain,snow",0.7,6.6,Partly cloudy throughout the day with rain or snow.,"06348099999,06249099999,06240099999,06330099999,06257099999,06344099999",obs
Circuit Zandvoort,2010-01-10,0.2,-0.6,-0.2,2.024,100,16.67,"rain,snow",1.1,7.5,Cloudy skies throughout the day with a chance of rain or snow throughout the day.,"06348099999,06249099999,06240099999,06330099999,06257099999,06344099999",obs
Circuit Zandvoort,2010-01-11,0.1,-0.7,-0.3,0.162,100,4.17,"rain,snow",0.4,8,Cloudy skies throughout the day with early morning snow or rain.,"06348099999,06249099999,06240099999,06330099999,06257099999,06344099999",obs
